Pairs, Occurance
"(Muse, Radiohead)", 128
"(Arctic Monkeys, Muse)", 113
"(Coldplay, Muse)", 113
"(Radiohead, The Beatles)", 113
"(Muse, The Beatles)", 107
"(Muse, The Killers)", 100
"(Muse, Placebo)", 98
"(Coldplay, Radiohead)", 92
"(Nirvana, The Beatles)", 90
"(Arctic Monkeys, Radiohead)", 88
"(Coldplay, The Beatles)", 86
"(Arctic Monkeys, The Beatles)", 86
"(Muse, Nirvana)", 85
"(Coldplay, The Killers)", 85
"(Arctic Monkeys, Coldplay)", 84
"(Arctic Monkeys, The Killers)", 76
"(Pink Floyd, The Beatles)", 76
"(Muse, Paramore)", 75
"(Nirvana, Radiohead)", 74
"(Lady Gaga, Muse)", 73
"(Placebo, Radiohead)", 72
"(Muse, Red Hot Chili Peppers)", 72
"(Radiohead, The Killers)", 70
"(The Beatles, The Killers)", 70
"(Pink Floyd, Radiohead)", 70
"(Arctic Monkeys, The Strokes)", 69
"(Radiohead, The Smiths)", 68
"(Muse, Pink Floyd)", 68
"(Kings of Leon, Muse)", 67
"(Lady Gaga, Rihanna)", 67
"(Coldplay, Kings of Leon)", 67
"(Lady Gaga, Paramore)", 66
"(Oasis, The Beatles)", 65
"(Franz Ferdinand, Muse)", 65
"(Muse, Oasis)", 64
"(Coldplay, Red Hot Chili Peppers)", 64
"(Green Day, Muse)", 63
"(Led Zeppelin, The Beatles)", 63
"(Muse, The Strokes)", 63
"(Nirvana, Red Hot Chili Peppers)", 62
"(Britney Spears, Lady Gaga)", 62
"(Lady Gaga, The Beatles)", 61
"(Muse, System of a Down)", 61
"(Arctic Monkeys, Oasis)", 61
"(Radiohead, The Cure)", 61
"(The Beatles, The Rolling Stones)", 61
"(Oasis, Radiohead)", 61
"(Queen, The Beatles)", 61
"(The Beatles, The Strokes)", 60
"(Metallica, Muse)", 60
"(Coldplay, Oasis)", 59
"(Radiohead, The Strokes)", 59
"(Coldplay, Nirvana)", 59
"(Led Zeppelin, Pink Floyd)", 58
"(David Bowie, Radiohead)", 58
"(Death Cab for Cutie, Radiohead)", 57
"(MGMT, Muse)", 57
"(Franz Ferdinand, Radiohead)", 57
"(Red Hot Chili Peppers, The Beatles)", 57
"(Foo Fighters, Muse)", 57
"(Arctic Monkeys, Kings of Leon)", 57
"(Oasis, The Killers)", 57
"(Coldplay, Placebo)", 56
"(Death Cab for Cutie, The Beatles)", 56
"(Arctic Monkeys, MGMT)", 56
"(Coldplay, Lady Gaga)", 55
"(30 Seconds to Mars, Muse)", 55
"(Death Cab for Cutie, Muse)", 54
"(Linkin Park, Muse)", 54
"(The Beatles, The Smiths)", 54
"(David Bowie, The Beatles)", 54
"(Kings of Leon, Radiohead)", 54
"(The Cure, The Smiths)", 54
"(Arctic Monkeys, Nirvana)", 54
"(Iron Maiden, Metallica)", 54
"(Arctic Monkeys, Franz Ferdinand)", 54
"(Muse, The Kooks)", 53
"(Nirvana, Oasis)", 53
"(Foo Fighters, Red Hot Chili Peppers)", 53
"(Metallica, System of a Down)", 53
"(Radiohead, Red Hot Chili Peppers)", 53
"(The Killers, The Strokes)", 53
"(Ke$ha, Lady Gaga)", 53
"(Arctic Monkeys, The Kooks)", 53
"(Muse, The Cure)", 53
"(Foo Fighters, Nirvana)", 52
"(Muse, Queen)", 52
"(Kings of Leon, The Killers)", 52
"(Franz Ferdinand, The Beatles)", 52
"(Nirvana, Placebo)", 51
"(Muse, Snow Patrol)", 51
"(Red Hot Chili Peppers, The Killers)", 51
"(Pearl Jam, Radiohead)", 51
"(Placebo, The Killers)", 51
"(Nirvana, Pearl Jam)", 51
"(Lady Gaga, Lily Allen)", 51
"(MGMT, The Beatles)", 51
"(Foo Fighters, Radiohead)", 50
"(Kasabian, Muse)", 50
"(Arctic Monkeys, Placebo)", 50
"(Incubus, Muse)", 50
